裁罰企業名稱,污染種類,污染地點,污染物,違反法條,裁罰/公告日期,資訊來源
觀音鄉富林村的北礦實業公司,水污染,大堀溪,洗砂廢水,水污染防治法第14條第1項,101-12-26,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8531
安立材料科技股公司楊梅廠,水污染,楊梅市高青路32巷9號右側雨水溝,灰色強鹼性廢水,1.水污染防治法第14條第一項 2.水污染防治法第26條第1項和第50條,101-12-26,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8531
觀音工業區污水處理廠,水污染,富林溪,不明黃色廢水(pH值5.7),水污染防治法第19條,101-12-26,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8531
蘆竹鄉蘆竹路植大橡膠塑膠公司,繞流排放,,,,101-12-26,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8531
龜山鄉元慶工業公司,水污染,大坑溪南祥橋段,油污廢水,違反水污染防治法第30條第1項,101-12-23,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8518
龜山如祥五金廠,水污染,南崁溪,鹼性廢水,水污染防治法第7條第1項,101-12-22,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8515
大園儒鴻企業,水污染,老街溪,高溫廢水,水污染防治法第14條第2項,101-12-22,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8515
大園工業區皓城工業公司,水污染,,強酸性廢水,水污染防治法第7條第1項,101-12-20,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8512
大園鄉OO化學公司,水污染,老街溪,鹼性廢水(酸鹼值為10.1),水污染防治法第7條第1項,101-12-14,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8497
蘆竹鄉台耀化學公司,水污染,南崁溪,黃色強鹼廢水(pH值11.6),水污染防治法第7條第1項,101-12-12,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8488
觀音鄉綠能科技觀音廠,水污染,富林溪,深褐色高濁度廢水,水污染防治法第18條,101-12-11,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8484
觀音工業區污水處理,水污染,富林溪,黃色廢水,水污染防治法第19條,101-12-11,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8483
水美工程企業公司,空氣汙染,,,空氣污染防制法第24條第2項,101-12-11,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8481
蘆竹鄉華震科技公司,水污染,南崁溪,酸性廢水(pH值2.1),水污染防治法第7條第1項,101-12-07,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8473
觀音工業區聯合污水處理廠,水污染,樹林溪,不明褐色廢水,水污染防治法第19條,101-12-06,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8469
蘆竹鄉蘆興街華楙生技廠,水污染,南崁溪,灰色廢水,水污染防治法第14條第1項,101-12-06,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8469
祥豐盛實業公司,水污染,,強鹼性廢水(pH值11.3),水污染防治法第14條第1項,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
國光路錦展實業,空氣汙染,,現場兩套防制設備洗滌塔洗滌液流量操作參數未符合許可證,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
經建三路俊紡實業,空氣汙染,,目視排放管道排放大量白煙，進廠稽查現場防制設備洗滌塔洗滌液流量操作參數低於許可證核定,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
大同一路繼德印染科技,空氣汙染,,目視排放管道排放大量白煙，進廠稽查現場防制設備洗滌塔pH3.6低於許可核定之7至9,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
經建四路台灣中華化學工業觀音廠,空氣汙染,,兩套洗滌塔洗滌液流量操作參數低於許可證核定，其中一套pH 13.16大於許可核定7至9,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
工業九路合興旺公司,空氣汙染,,防制設備洗滌塔pH操作參數1.08遠低於許可核定數值,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
台灣玻璃工業公司桃園廠,違法操作,,4座烘箱未列入許可證,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
國建二路的山大企業,空氣汙染,,2台定型機污染廢氣未處理直接排放,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
揚堡實業公司觀音廠,違反廢棄物清理法,,廢蝕刻液處理設備之管線渗漏污染地面，未有防止廢棄物流出，及影響四周環境品質之必要措施,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
佶鼎科技股份有限公司觀音廠,違反廢棄物清理法,,未依核發之公民營廢棄物處理機構許可文件處理廢棄物,,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8458
豐磊電子公司,水污染,南崁溪,藍色廢水,水污染防治法第18條、水污染防治措施及檢測申報管理辦法第52條第1項,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8457
新屋鄉永安村下庄仔祥豐盛實業公司,水污染,社子溪,強鹼廢水,水污染防治法第14條第1項,101-11-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8456
蘆竹鄉昭鎰企業公司,水污染,南崁溪,藍色高溫廢水(46度C),水污染防治法第18條,101-11-29,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8451
蘆竹尚燁工業公司桃園廠,水污染,南崁溪,金黃色高溫廢水(54.6度C),水污染防治法第14第1項,101-11-23,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8442
楊梅合智工業公司,水污染,東明溪,白色廢水(切硝油),水污染防治法第30條,101-11-23,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8442
中壢市大鐘印染股份公司中壢廠,空氣汙染,,惡臭污染(鍋爐燃燒廢木材),空氣污染防制法第24條,101-11-16,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8413
楊梅幼獅擴大工業區佳豐餐飲服務有限公司,水污染,楊梅市高青路段旁的東明溪,灰色廢水,水污染防治法第14條第1項,101-11-16,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8412
蘆竹台硝股份有限公司桃園廠,水污染,,廢水處理單元有不明管線連通放流管，與水污染防治許可文件登載內容不符,,101-11-15,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8406
楊梅保力鐵興業股份有限公司,水污染,東明溪,強酸性廢水(pH值3.6),水污染防治法第14條、30條,101-11-15,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8406
楊梅幼獅擴大工業區位速科技公司,水污染,高青路28巷,淡紫色製程廢水,水污染防治法第30條,101-11-13,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8388
新屋鄉駿瀚生化公司,水污染,社子溪,,水污染防治法第18條,101-11-10,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8377
龜山工業區四維精密材料公司桃園廠,空氣汙染,,含揮發性有機物的廢氣,空氣污染防制法第24條,101-11-09,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8375
龜山鄉南上村聖國染整廠,水污染,大坑溪南美ㄧ號橋,藍色廢水,,101-11-08,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8366
觀音工業區污水處理廠,水污染,富林溪,黑色廢水,水污染防制法第19條,101-11-07,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8359
觀音鄉明峯環保公司桃園廠,空氣汙染,,粒狀污染物(木屑),空氣污染防制法第31條第1項第1款、空氣污染行為管制準則第6條第2款,101-11-06,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8357
蘆竹順麟印染股份有限公司,水污染,下游灌溉用水,褐色廢水,水污染防治法第18條、水污染防治措施及檢測申報管理辦法第52條第1項,101-11-03,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8345
